mapudungun;espanol;ingles
feyti fantekey;ese es de este porte;That is from this bearing
pichike rümekechi nga;son de tamano muy chico;They are very small size
füyfüy ka feytichi ngalaungalau;el fuifui y tambien ese galaugalau;The Fuifui and also that galaugalau
sefollakechi troftrofkinga;suena como cebolla;It sounds like onion
ka feyti anñingi;tambien eso se calienta;That's too
meli;cuatro;four
añurngi;se calienta;It heats up
femechi fantekechi folil;la raiz es de este porte;The root is from this bearing
fey müli tranaleal;eso se debe machacar;That must be crushed
folil  feytimu;la raiz de esto;The root of this
kiñewün feytichi lawen nga;todo al mismo tiempo con ese remedio;All at the same time with that remedy
feyta rume küme lawen;este es un gran remedio;This is a great remedy
fey tüfichi ngalaungalau;de ese galaugalau;of that galaugalau
tapül kümi tüfi kam folil;es buena la hoja o la raiz;The sheet or root is good
folil kom tapül itrokom;toda la raiz las hojas todos;All the root the leaves all
fey kangelu lawen kay chem pingi ama;y el otro remedio como se llamaba;And the other remedy as it was called
mutrunlawen folil kam tapül;del mutrunlahuen la raiz o la hoja;of mutrunlahuen the root or leaf
folil;la raiz;the root
folil mutrunlawen mutrun;la raiz del mutrunlahuen;THE RAIZ OF THE MUTRUNLAHUEN
mutrunlawen tuchipüle tripaki tüfey peñi;el mutrunlahuen por donde sale este hermano;The Mutrunlahuen where this brother comes out
müli kompüle;hay por todas partes;There are everywhere
müli choday pingi fantekechi piki;hay choday dicen es de este porte;there are choday say is this bearing
fan fanteke rupay tapül fanteki tapül;asi es de largo de este porte es su hoja;This is long from this bearing is your sheet
fill mapu müli;por todas partes hay;Everywhere there is
müli tati may  wingkul;hay pues en el cerro;There is therefore on the hill
müleki well  mapu müleki;por todos los lugares hay;For all places there are
ah;pero en todas partes no hay;But there is no
kiñekiñeiñ;algunos quedan;Some remain
mutrunlawen pingi;mutrunlahuen se llama;Mutrunlahuen is called
kangelu füyfüy;el otro fuifui;The other Fuifui
füyfüy;fuifui;Fuifui
tuchipüle müleki füyfüy kay;y por aqui hay fuifui;And here there is fuifui
ka feymu ule pengelayu;tambien manana le voy a mostrar;I am also going to show you
mapu lawen mongetuy tüfey;y vivio con remedio de la tierra;And I lived with Earth Remedy
no no;no no;nerd
rume kutrankauküli tüfa domo pingi;se enferma mucho la mujer de esto  dicen;The wife of this becomes very sick
feychi kutranmeu;de esa enfermedad;of that disease
señorangey wingkangey rume;cunasdo es senora  huinca;CUNASDO IS SENORA HUINCA
fey  ngelay lawen;ahi no hay remedio;There is no remedy
pitaltungi ta tüfey;se la hospitaliza  a esta;is hospitalized to this
ngelay tüfa pital;no hay de esto en le hospital;There is not this in the hospital
sourepartunielu mongekelay pingi;la que tiene sobre parto no vive dicen;The one that has on childbirth does not live
mapuche ñi ngüneluwün mülerkefuy tüfey;en la sabiduria del mapuche estaba esto;In the wisdom of the Mapuche was this
müli müli müli;hay hay hay;there are there
mongey;se mejoro;it got better
fey anta dañakalay feyta;ese acaso no hace dano;That does not make a dam
feyta perdetuy dungu kay;ahi se pierde es lo que se dice pues;There is lost is what is said then
ütrüfütrüfmayawün;me andaba botando y botando;I was driving me and throwing
feytichi lawen kintun;ese remedio busque;That remedy looks for
maymaylikan trafoy chi  tukun;le coloque corteza de maimailican;I put maimailican cortex
kintupelu maymaylikan;cuando andaba buscando maimailican;When I was looking for maimailican
wenu müli pilkafichi mamüll welu;pero arriba hay;But there is
maymaylikan  ka chem ini pipimi ama;maimailican y que otra cosa dijo;maimailican and what else said
maymaylikan;maimailican;Maimailican
ka chem pingeki pingimi ama ütriu;de que otra forma se llama dijo utriu;What another way is called Utriu said
ütriw pirki fey;utriu se llama eso;utriu is called that
tapül ti kümey;la hoja es buena;The sheet is good
mamüll;el palo;the stick
mamüll tapül;palo  hoja;SHEET PALO
mamüll folomu pürakey tamumu;palo en le boldo sube;PALO IN LE BOLDO SUBE
ijertauküliki tati injertau;suele estar injertado injertado;It is usually grafted grafted
feyti kay tüfi kiñe lawen ka müli;ese tambien hay otro remedio;That is also a remedy
rume  ngelay fillpüle;que no hay mucho por todas partes;that there is not much everywhere
müley fillpüle ngelay;por todas partes no hay;There is no
chumal chi kümefuy ti;para que servira ese;To serve that
chem pingi;como se llama;what's it called
chem pingi;quintral de maque le llaman;Quintral de Maque call him
wingka fey piki;el huinca asi dice;The huinca says
fau müli ti;aqui hay eso;Here's that
wente make tripaki pingi;encima del maque sale dicen;Above the MAQUE they say
kelü rayen nii pingeki;tiene flor roja dicen;has a red flower they say
kimlafimi;no la conoce;He doesn't know her
tripaki folomu;sale en el boldo;leaves in the boldo
tripaki makemu;sale en el maque;leaves in the maque
temu tum müli;en le temo hay;In I fear there is
ule pengen may feytamu;manana me va mostrar aqui;Manana will show me here
fey anta maymaylikan pingerki;eso es lo que se llama maimailican;That is what is called Maimailican
fey llemay tripaki makemu tripaki temumu;es es pues sale en el maque sale en el temo;It is therefore it comes out in the Maque comes out in the fear
pengelmeayu ule;le voy a mostrar manana;I'm going to show you tomorrow
müna kochi ñi fün;es muy dulce su fruto;Its fruit is very sweet
fey anta kümerki ta mapu kutranünmu;eso es bueno cuando uno se enferma;That's good when you get sick
münalechi;que raro;how odd
me ngelay müte pingi tati fey;no hay mucho de eso dicen;There is not much of that say
fillpüle ngekelay perke ti;por todas partes no habra de eso;There will be no one of that
rume kintun lawen tüfi;es un remedio que se busca mucho;It is a remedy that looks a lot
puedelay kiñe mamüll pelme;no se puede encontrar un palo;You can't find a stick
femechi felelu puedelay ñi katrüngeal;el que esta asi no se puede cortar;the one that is not like to be cut
kümelay;no es bueno;not good
re fütra lawen;es un gran remedio;It is a great remedy
feyti kimnolu feyta;el que no sabe esto;The one who does not know this
ka chem kutranmu chi kümefuy tüfi chi lawen kay;y para que otra enfermedad puede servir este remedio;And for another disease, this remedy can serve
feyti feypikelu feyti fey re domo nielunga;ese que tiene pura hija mujer;The one who has a pure daughter woman
fey re doy chi domo müley;para que no hayan mas mujeres;so that there are no more women
ñi putual fey wentrukoñingetuy;para tomar y tener hijos hombres;To take and have men men
nienolu;el que no tiene;The one who does not have
re domo nielu;la que tiene puras mujeres;The one with pure women
feyta we choyülü;la que recien tuvo hijos;the one that recently had children
müley ñi putual feychi lawen;debe tomar ese remedio;You must take that remedy
maymaylikantual;beber maimailican;Drink Maimailican
maymayküpay wentru;ahi con el maimai nacen hombres;There are men with maimai
fey nietuy wentru püñeñ;asi se tiene hijos hombres;Thus you have men men
fey pi ñi llalla;asi dijo mi suegra;Thus said my mother -in -law
feypifiñ fey tüfichi chem kümi feytichi chem;que le dije y ese para que es bueno eso;I told him and that is good for that
chi kümey chem ka inche kimniekay;para lo que es bueno ya tambien lo se;For what is good and I know
we cholli chi domo müli putungi tati;cuando la mujer recien tiene hijos lo bebe pues;When the new woman has children she drinks it then
fey re ñi re  ngelu;cuando tiene puro;When he has pure
feyta küpangi wentru;viene puro hombre;Pure man comes
welu inche deukimniefun;pero yo ya sabia;But I already knew
fey re ñi kimniefel ramtufiñ;para puro ver si sabia le pregunte;To see if I knew I asked him
tami doy feyentual tüfey;para que crea mas es eso;To create more is that
kümey feychi lawen;es bueno ese remedio;That remedy is good
puedelay ñi katrungeal feychi lawen;no se puede ser enfermizo con ese remedio;You can't be sick with that remedy
müli chem;hay en;There are
mülekey temumu;suele haber en el temo;There is usually in fear
mülekey makemu;suele haber en el maque;There is usually in the maque
feyta müli tati;aqui hay de eso pues;Here's that then
ule peafeyu;manana le voy a mostrar;Manana I'm going to show you
feytichi kay pipimi nga;y eso tambien que dijo;And that also said
fey fütrake kay tripakelu ti kam pichike kay tripakelu;y esa sale grande o tambien sale chico;And that is big or also comes small
fütra kay feyti chem pitakemu ama;si grandes en esa pita no es asi;If big in that pita is not like that
fantekey;de este porte es;of this bearing is
fütrake kay;suele ser grande;It is usually great
pakete forokechili kiñe puni feymu fey fey tati fey;esta forrado como paquete eso pues;is lined as a package that then
fey kümi ñi nentunmenmu;eso es bueno para ir a sacarlo;That's good to go get it
fey chumal pipimi nga tüfey nga;y para que dijo que era eso;And so he said it was that
feyti llüfüdu kutranmu;para la enfermedad de la vejiga;For bladder disease
llifüdü;de la vejiga;of the bladder
vejia;vejiga;bladder
vejia vejia  meli;vejiga vejiga cuatro;Bladder bladder four
meli lawen;cuatro remedios;four remedies
feyti fey ñi wadkümngerki ka kam;y eso tambien se hierve;And that is also boiled
wadküm;se hierve;boiled
trampongele chi meli kom raralengün;se juntan los cuatro con radal;The four with Radal come together
kay ka feyti chüllüm;y tambien ese chillim;And also that chillim
ka feyti chem ti feyti frutilla mapuam welu ka;tambien esa frutilla de la tierra pero tambien;also that strawberry of the earth but too
fey fey kümey vejia kutran may;eso es bueno para la enfermedad de la vejiga;That is good for bladder disease
mapu chem may may may;tierra que si si si;land that yes yes
llifüdü kutran;para la enfermedad de la vejiga;For bladder disease
rume küme kimün nierkeymi ti peñi;muy buena sabiduria tiene hermano;Very good wisdom has brother
ngünechen tañi poyeneteu müten;porque ngunechen lo quiere no mas;Because Ngunechen wants no more
feyta femuechi ta tuki ta kimün;asi es como algunos tocan la sabiduria;This is how some touch wisdom
ta tüfey fill nieyelafuy anta wün ka longko;acaso muchos no tienen boca y cabeza;Perhaps many have no mouth and head
welu fente kimün nielaiñ ta tüfey;pero no tenemos mucho conocimiento pues;But we don't have much knowledge because
inche ramtuntukun feymu llemay;yo pregunte por eso;I ask for that
ramtuniele ka;es que le estoy preguntando;I am asking him
feyti komu kom feyti;ahi en el agua todo eso;there in water all that
kom müley lawen;hay de todos remedios;There are all remedies
fentreley itrokom lawen;hay hartos de distintos remedios;There are fed up with different remedies
feymu kom mülefuy;por eso todos deberias;That's why you should all
pekan tukunien no;no estoy diciendo en vano;I'm not saying in vain
müli feymu llenuanta;no hay por eso acaso;There is no reason why
lladkükellu  chau;me enojo con usted padre;I get angry with you father
we anüniey;recien tiene sentado;Read has sitting
itrofill chem kom afi lawen;se termino todo mi remedio;All my remedy was terminated
folle ta ka lawen;el canelo es otro remedio;Canelo is another remedy
ka puedelay tañi katrüngeal;que no se puede cortar;that cannot be cut
ka puedelay tañi maltratangeal;tampoco se puede maltratar;Nor can you mistreat
poyengeafel ti;se debe apreciar;It must be appreciated
kiñe küme wedake chaw;por algunos malos padre;For some bad father
ñukerkefuy feychi chi anümka;era como una  madre esa planta;It was like a mother that plant
ñuke;madre;mother
inche kiñe che tranün;yo uan vez me cai;I like once fell
inantuku waka;correteando a la vaca;running to the cow
witrawetulan may;no podia levatarme pues;I couldn't get up then
putun kiñe trawa;bebi una cascara;I drink a shell
famuelu yüfkünentumefiñ;de esa forma por debajo lo fui a sacar;That way I went down to take it out
femuy ñi duam putun;por eso pude beber;That's why I could drink
are komu elungen;con agua caliente me dieron;With hot water they gave me
putun;bebi;Bebi
chemün;me mejore;I improve me
rume küme lawen ta foye;es un muy buen remedio el canelo;Canelo is a very good remedy
ta wapi  pichintu;con un poco de huapi;With a little huapi
leftungealu wadkün;se hierve rapidamente;It boils quickly
fürey rume;es muy fuerte;It is very strong
rume fürey;es muy fuerte;It is very strong
trawa tüfey kiñe pichi famentumengi;la cascara asi un pedasito de va ha escoger;The shell thus a pedasito de va has chosen
leftukungi ka pürün tukungi;se limpia y rapidamente se hecha;It is cleaned and quickly made
pütokongetuy;al  tomarlo;When taking it
mongetuy tüfey kutrantulelu;se mojara ese que esta enfermo;The one who is sick
rume küme lawentungey;es muy buen remedio;It is very good remedy
chumal kümey tüfi avellana;para que es buena la avellana;so that hazelnut is good
avellana ka feymu llemay;avellana con eso tambien;hazelnut with that too
